2025-06-19 14:21:34 INFO     {'input_dim': 88, 'z_dim': 10, 'batch_size': 20, 'epochs': 1000, 'min_epochs': 2, 'lr': 0.0003, 'beta1': 0.96, 'beta2': 0.999, 'clip_norm': 20.0, 'anneal_epochs': 1000, 'min_anneal': 0.1}
2025-06-19 14:38:16 INFO     [test epoch 00000420]  0.02308477
2025-06-19 14:38:40 INFO     [Epoch 0430]		(dt = 23.862 sec)
2025-06-19 14:38:40 INFO     [train epoch 00000430]  0.02159076
2025-06-19 14:38:40 INFO     [test epoch 00000430]  0.02267138
2025-06-19 14:39:03 INFO     [Epoch 0440]		(dt = 23.622 sec)
2025-06-19 14:39:03 INFO     [train epoch 00000440]  0.02120865
2025-06-19 14:39:04 INFO     [test epoch 00000440]  0.02227206
2025-06-19 14:39:27 INFO     [Epoch 0450]		(dt = 23.506 sec)
2025-06-19 14:39:27 INFO     [train epoch 00000450]  0.02083528
2025-06-19 14:39:27 INFO     [test epoch 00000450]  0.02188622
2025-06-19 14:39:51 INFO     [Epoch 0460]		(dt = 23.782 sec)
2025-06-19 14:39:51 INFO     [train epoch 00000460]  0.02048419
2025-06-19 14:39:51 INFO     [test epoch 00000460]  0.02151339
2025-06-19 14:40:14 INFO     [Epoch 0470]		(dt = 23.766 sec)
2025-06-19 14:40:14 INFO     [train epoch 00000470]  0.02013115
2025-06-19 14:40:15 INFO     [test epoch 00000470]  0.02115310
2025-06-19 14:40:38 INFO     [Epoch 0480]		(dt = 23.644 sec)
2025-06-19 14:40:38 INFO     [train epoch 00000480]  0.01979691
2025-06-19 14:40:38 INFO     [test epoch 00000480]  0.02080474
2025-06-19 14:41:02 INFO     [Epoch 0490]		(dt = 23.679 sec)
2025-06-19 14:41:02 INFO     [train epoch 00000490]  0.01948066
2025-06-19 14:41:02 INFO     [test epoch 00000490]  0.02046827
2025-06-19 14:41:25 INFO     [Epoch 0500]		(dt = 23.637 sec)
2025-06-19 14:41:25 INFO     [train epoch 00000500]  0.01916774
2025-06-19 14:41:26 INFO     [test epoch 00000500]  0.02014300
